Gene name (ENSEMBL),Hugo,Fold Change,Adjusted p-value
ENSG00000003096,KLHL13,2.986813753,1.43E-124
ENSG00000003400,CASP10,0.992178401,3.74E-12
ENSG00000005001,PRSS22,-1.292653735,6.19E-30
ENSG00000006025,OSBPL7,-1.146770917,4.11E-20
ENSG00000006534,ALDH3B1,1.077523073,6.88E-16
ENSG00000007384,RHBDF1,-1.15510869,4.85E-54
ENSG00000008086,CDKL5,-1.072894948,1.05E-18
ENSG00000008513,ST3GAL1,-1.299477115,2.28E-24
ENSG00000011028,MRC2,1.136000501,2.49E-27
ENSG00000012660,ELOVL5,1.169647984,1.33E-82
ENSG00000013588,GPRC5A,-1.048850779,6.24E-38
ENSG00000014257,ACPP,0.140595759,0.421708741
ENSG00000016402,IL20RA,1.04296687,9.77E-10
ENSG00000018236,CNTN1,0.442252153,0.172194782
ENSG00000019186,CYP24A1,2.207209824,7.26E-29
ENSG00000022267,FHL1,1.066752916,5.81E-07
ENSG00000023445,BIRC3,0.451483007,2.61E-12
ENSG00000023902,PLEKHO1,1.023041685,5.59E-24
ENSG00000023909,GCLM,1.077857927,2.93E-46
ENSG00000025423,HSD17B6,1.203463267,2.25E-13
ENSG00000026103,FAS,1.155228434,4.95E-18
ENSG00000026508,CD44,1.620291862,2.07E-87
ENSG00000026950,BTN3A1,1.777875744,9.55E-42
ENSG00000027697,IFNGR1,0.50982275,1.79E-16
ENSG00000033327,GAB2,1.346510537,8.96E-51
ENSG00000039560,RAI14,1.463128138,3.19E-94
ENSG00000041353,RAB27B,-1.099527776,1.89E-64
ENSG00000042493,CAPG,1.022845069,6.79E-26
ENSG00000043039,BARX2,1.512211254,1.81E-40
ENSG00000047597,XK,1.77110814,2.74E-40
ENSG00000047644,WWC3,-0.732265689,6.08E-38
ENSG00000048540,LMO3,-2.897604325,9.26E-45
ENSG00000049759,NEDD4L,-2.708515556,8.21E-300
ENSG00000051128,HOMER3,0.691081906,2.06E-12
ENSG00000054598,FOXC1,-1.068577436,1.34E-06
ENSG00000055332,EIF2AK2,1.567390452,4.42E-145
ENSG00000056558,TRAF1,-1.318269261,1.97E-16
ENSG00000057149,SERPINB3,0.387402314,0.262933766
ENSG00000058335,RASGRF1,-0.041610616,0.809815357
ENSG00000058668,ATP2B4,1.029521364,9.33E-46
ENSG00000059378,PARP12,1.477645325,1.35E-99
ENSG00000059804,SLC2A3,1.310199205,1.24E-34
ENSG00000060982,BCAT1,0.752547321,1.67E-08
ENSG00000062282,DGAT2,0.811395175,6.40E-21
ENSG00000062716,VMP1,-1.053619039,7.60E-16
ENSG00000063180,CA11,1.219977203,5.94E-18
ENSG00000063438,AHRR,-1.702043184,7.86E-22
ENSG00000064205,WISP2,1.475503555,3.99E-32
ENSG00000064270,ATP2C2,-1.247342326,1.85E-139
ENSG00000064393,HIPK2,-0.974975614,3.54E-21
ENSG00000064652,SNX24,1.33077642,1.01E-56
ENSG00000064666,CNN2,-1.022946301,8.11E-45
ENSG00000064692,SNCAIP,0.560679561,0.052161986
ENSG00000064787,BCAS1,-2.949848402,0
ENSG00000064886,CHI3L2,0.528167142,0.007265277
ENSG00000065320,NTN1,1.233836542,6.57E-28
ENSG00000065618,COL17A1,0.768157823,0.005057555
ENSG00000065717,TLE2,-2.064512746,6.13E-263
ENSG00000065809,FAM107B,-1.097493484,1.10E-77
ENSG00000065989,PDE4A,1.216033912,1.81E-13
ENSG00000066230,SLC9A3,-1.383388686,7.40E-11
ENSG00000066382,MPPED2,1.712204022,5.71E-15
ENSG00000066468,FGFR2,-1.973875861,1.25E-56
ENSG00000066697,MSANTD3,1.171805723,1.98E-77
ENSG00000067066,SP100,1.446352514,6.96E-132
ENSG00000068079,IFI35,1.38737408,5.37E-51
ENSG00000068366,ACSL4,1.556114793,7.01E-63
ENSG00000069188,SDK2,1.897359462,4.12E-22
ENSG00000069399,BCL3,-1.590658726,1.69E-45
ENSG00000069482,GAL,1.930486805,1.76E-91
ENSG00000070190,DAPP1,1.821095979,8.26E-38
ENSG00000070778,PTPN21,-1.45108067,6.48E-28
ENSG00000071073,MGAT4A,-1.053721758,1.43E-105
ENSG00000071242,RPS6KA2,-1.01800851,2.14E-07
ENSG00000071575,TRIB2,1.360419844,1.37E-29
ENSG00000072422,RHOBTB1,2.759445027,2.08E-88
ENSG00000072818,ACAP1,-1.059510291,9.57E-11
ENSG00000072832,CRMP1,1.737379887,3.78E-45
ENSG00000073282,TP63,2.159557247,7.23E-40
ENSG00000073792,IGF2BP2,-1.436389271,3.11E-08
ENSG00000074370,ATP2A3,-1.460390462,7.42E-107
ENSG00000074410,CA12,0.336272844,1.91E-09
ENSG00000075213,SEMA3A,2.0585196,4.93E-64
ENSG00000075618,FSCN1,1.31642928,1.08E-37
ENSG00000075651,PLD1,0.893174824,1.64E-27
ENSG00000076706,MCAM,1.276927523,3.77E-18
ENSG00000078018,MAP2,-1.469117602,7.51E-21
ENSG00000078081,LAMP3,1.5082086,6.24E-24
ENSG00000078401,EDN1,-1.617280982,6.24E-181
ENSG00000079841,RIMS1,-2.470679293,2.43E-30
ENSG00000080224,EPHA6,1.167410006,6.52E-09
ENSG00000081277,PKP1,1.2005148,1.68E-65
ENSG00000082175,PGR,4.743738571,3.83E-287
ENSG00000083454,P2RX5,1.315368118,4.33E-32
ENSG00000083857,FAT1,-1.015529028,4.70E-95
ENSG00000084110,HAL,1.021940726,3.07E-06
ENSG00000084628,NKAIN1,1.449321325,4.10E-08
ENSG00000085741,WNT11,1.162698835,5.46E-05
ENSG00000086289,EPDR1,1.004768142,2.13E-18
ENSG00000086548,CEACAM6,-2.772273019,6.67E-49
ENSG00000087085,ACHE,-1.737548429,7.30E-24
ENSG00000087258,GNAO1,2.207851778,2.38E-28
ENSG00000087842,PIR,1.176830521,1.45E-38
ENSG00000088340,FER1L4,-1.215823742,2.01E-14
ENSG00000088726,TMEM40,0.123137367,0.56241604
ENSG00000088992,TESC,1.206782186,2.75E-11
ENSG00000089041,P2RX7,1.09485621,1.28E-12
ENSG00000089127,OAS1,3.85345875,2.74E-242
ENSG00000089692,LAG3,-1.323079589,3.20E-06
ENSG00000090238,YPEL3,-1.635428747,1.03E-114
ENSG00000090534,THPO,-1.30291065,1.84E-05
ENSG00000090539,CHRD,-2.238617525,1.87E-82
ENSG00000091127,PUS7,1.070196166,4.22E-108
ENSG00000091129,NRCAM,1.01909331,2.84E-57
ENSG00000091428,RAPGEF4,1.447132432,3.36E-09
ENSG00000091527,CDV3,1.142085371,6.36E-110
ENSG00000092621,PHGDH,1.243132518,9.01E-61
ENSG00000092929,UNC13D,-1.204234871,9.43E-137
ENSG00000092969,TGFB2,-1.758603791,2.29E-47
ENSG00000093134,VNN3,0.539482112,0.062612056
ENSG00000094755,GABRP,-0.920890044,0.003755861
ENSG00000095585,BLNK,-1.453075519,1.79E-35
ENSG00000096006,CRISP3,-1.239465069,1.79E-11
ENSG00000099204,ABLIM1,0.893651801,4.73E-53
ENSG00000099246,RAB18,-1.000171862,9.69E-61
ENSG00000099260,PALMD,0.748585044,0.004064322
ENSG00000099994,SUSD2,-0.712637392,5.03E-07
ENSG00000100234,TIMP3,-2.501448684,0
ENSG00000100276,RASL10A,-0.663323659,0.00277062
ENSG00000100292,HMOX1,1.086616394,6.35E-11
ENSG00000100311,PDGFB,-1.278976906,1.63E-50
ENSG00000100373,UPK3A,-1.749692034,1.44E-09
ENSG00000100473,COCH,1.988352069,2.97E-65
ENSG00000100490,CDKL1,1.318293319,8.12E-14
ENSG00000100867,DHRS2,-0.406832593,4.20E-05
ENSG00000100968,NFATC4,-0.467519305,0.000284147
ENSG00000101000,PROCR,1.247019073,9.00E-19
ENSG00000101098,RIMS4,1.047175754,3.47E-34
ENSG00000101115,SALL4,-1.21705535,3.63E-36
ENSG00000101213,PTK6,-1.164084114,1.92E-28
ENSG00000101265,RASSF2,1.045260083,1.23E-10
ENSG00000101347,SAMHD1,1.059730615,1.03E-55
ENSG00000101384,JAG1,0.756291608,1.90E-06
ENSG00000101417,PXMP4,-1.402157034,3.73E-161
ENSG00000101443,WFDC2,1.100545441,6.65E-07
ENSG00000101463,SYNDIG1,2.08743386,1.40E-13
ENSG00000101493,ZNF516,0.878888484,9.01E-26
ENSG00000101773,RBBP8,0.995867884,8.38E-87
ENSG00000102048,ASB9,2.171147692,4.47E-38
ENSG00000102362,SYTL4,1.411649238,6.08E-96
ENSG00000102393,GLA,1.056919123,8.40E-65
ENSG00000102554,KLF5,0.460217662,5.34E-05
ENSG00000102683,SGCG,-1.613011511,4.95E-27
ENSG00000102854,MSLN,2.595895961,4.51E-32
ENSG00000102878,HSF4,-1.149649141,4.69E-11
ENSG00000102886,GDPD3,-1.78574733,1.97E-84
ENSG00000103154,NECAB2,1.061877336,4.54E-05
ENSG00000103196,CRISPLD2,-1.373002298,4.68E-42
ENSG00000103257,SLC7A5,1.442857118,1.45E-105
ENSG00000103269,RHBDL1,-1.066787074,1.31E-11
ENSG00000104205,SGK3,1.335184955,2.15E-57
ENSG00000104267,CA2,2.039340787,2.25E-25
ENSG00000104870,FCGRT,0.986141379,3.58E-05
ENSG00000104953,TLE6,-2.121800305,1.95E-19
ENSG00000104998,IL27RA,1.504086793,1.17E-87
ENSG00000105141,CASP14,0.175951857,0.593744378
ENSG00000105255,FSD1,1.107348818,3.50E-33
ENSG00000105427,CNFN,0.437111969,0.101313582
ENSG00000105559,PLEKHA4,1.878000916,4.05E-81
ENSG00000105784,RUNDC3B,-1.030836978,1.58E-11
ENSG00000105929,ATP6V0A4,-1.084264848,4.36E-10
ENSG00000105974,CAV1,0.227931059,0.101151361
ENSG00000106066,CPVL,1.840181883,1.17E-11
ENSG00000106123,EPHB6,0.75297986,1.62E-10
ENSG00000106366,SERPINE1,0.953104669,7.45E-06
ENSG00000106484,MEST,1.063680889,6.10E-60
ENSG00000106780,MEGF9,1.179554602,2.95E-76
ENSG00000106785,TRIM14,1.033668986,2.78E-53
ENSG00000106853,PTGR1,1.281918806,8.22E-49
ENSG00000107201,DDX58,2.097937956,1.97E-158
ENSG00000107242,PIP5K1B,-1.809523231,2.09E-22
ENSG00000107281,NPDC1,-1.025531297,3.60E-37
ENSG00000107518,ATRNL1,2.532195384,0
ENSG00000107562,CXCL12,3.874572879,0
ENSG00000107954,NEURL1,-1.233182415,4.93E-08
ENSG00000108244,KRT23,1.05913283,2.66E-06
ENSG00000108352,RAPGEFL1,1.464169374,7.42E-127
ENSG00000108551,RASD1,-2.462066536,1.10E-114
ENSG00000108679,LGALS3BP,1.767839603,3.16E-188
ENSG00000108771,DHX58,2.624453388,1.69E-37
ENSG00000108830,RND2,1.148927357,1.28E-19
ENSG00000108846,ABCC3,-1.141197402,1.89E-27
ENSG00000109072,VTN,-1.34558225,2.67E-12
ENSG00000109099,PMP22,-1.48907755,5.98E-37
ENSG00000109321,AREG,5.3096334,0
ENSG00000109436,TBC1D9,-1.107767527,1.96E-119
ENSG00000109472,CPE,-1.080627199,2.24E-42
ENSG00000109674,NEIL3,1.047642248,6.31E-47
ENSG00000109794,FAM149A,-0.745517904,0.00399996
ENSG00000109861,CTSC,0.912425738,8.61E-40
ENSG00000110080,ST3GAL4,-1.149431458,8.63E-40
ENSG00000110169,HPX,-1.256621591,7.22E-09
ENSG00000110375,UPK2,-1.248662983,5.47E-08
