Gene name (ENSEMBL),Hugo,Fold Change,Adjusted p-value
ENSG00000003096,KLHL13,1.990185428,3.31E-51
ENSG00000003400,CASP10,1.369626021,6.66E-23
ENSG00000005001,PRSS22,-0.70128321,5.58E-10
ENSG00000006025,OSBPL7,-0.772742762,1.30E-09
ENSG00000006534,ALDH3B1,0.46648208,0.001825063
ENSG00000007384,RHBDF1,-0.789271135,3.91E-26
ENSG00000008086,CDKL5,-0.883311801,5.05E-13
ENSG00000008513,ST3GAL1,-0.140161782,0.345097076
ENSG00000011028,MRC2,1.354199122,3.66E-39
ENSG00000012660,ELOVL5,1.315003082,1.10E-104
ENSG00000013588,GPRC5A,-0.783114679,3.08E-22
ENSG00000014257,ACPP,1.392111601,1.52E-25
ENSG00000016402,IL20RA,1.073437419,5.12E-10
ENSG00000018236,CNTN1,1.792918598,1.18E-10
ENSG00000019186,CYP24A1,3.421912941,3.00E-73
ENSG00000022267,FHL1,1.06832171,9.40E-07
ENSG00000023445,BIRC3,1.267009529,5.15E-102
ENSG00000023902,PLEKHO1,0.601448492,3.16E-08
ENSG00000023909,GCLM,0.667856366,2.01E-17
ENSG00000025423,HSD17B6,1.16951798,2.33E-12
ENSG00000026103,FAS,0.88832274,2.12E-10
ENSG00000026508,CD44,2.145151141,4.13E-159
ENSG00000026950,BTN3A1,1.403469804,4.54E-25
ENSG00000027697,IFNGR1,1.374275602,7.97E-123
ENSG00000033327,GAB2,0.54762953,4.68E-08
ENSG00000039560,RAI14,0.81264447,2.87E-27
ENSG00000041353,RAB27B,-1.268202317,4.78E-83
ENSG00000042493,CAPG,0.221837238,0.060275908
ENSG00000043039,BARX2,1.26722079,1.35E-27
ENSG00000047597,XK,0.80769451,6.04E-08
ENSG00000047644,WWC3,-1.054913012,1.18E-73
ENSG00000048540,LMO3,-0.442918719,0.015194555
ENSG00000049759,NEDD4L,-2.059176575,1.07E-202
ENSG00000051128,HOMER3,1.079690564,3.27E-30
ENSG00000054598,FOXC1,0.670428659,0.001058795
ENSG00000055332,EIF2AK2,1.156550474,1.94E-78
ENSG00000056558,TRAF1,-1.809891547,1.53E-27
ENSG00000057149,SERPINB3,2.997647929,3.72E-28
ENSG00000058335,RASGRF1,-1.033879869,1.97E-12
ENSG00000058668,ATP2B4,1.185472704,8.67E-61
ENSG00000059378,PARP12,0.923175557,3.59E-37
ENSG00000059804,SLC2A3,0.954330834,1.13E-17
ENSG00000060982,BCAT1,1.193296994,1.15E-20
ENSG00000062282,DGAT2,1.080681766,9.25E-37
ENSG00000062716,VMP1,-0.461160817,0.001043932
ENSG00000063180,CA11,1.412977509,7.31E-24
ENSG00000063438,AHRR,-0.649332384,0.00013105
ENSG00000064205,WISP2,2.182518723,1.39E-73
ENSG00000064270,ATP2C2,-0.603873079,8.71E-36
ENSG00000064393,HIPK2,-1.001703703,8.10E-22
ENSG00000064652,SNX24,0.537549257,5.05E-09
ENSG00000064666,CNN2,-0.288354434,0.000160566
ENSG00000064692,SNCAIP,1.683651328,3.03E-11
ENSG00000064787,BCAS1,-2.014612906,0
ENSG00000064886,CHI3L2,1.647386183,1.95E-21
ENSG00000065320,NTN1,0.529365745,2.73E-05
ENSG00000065618,COL17A1,2.400463495,7.32E-24
ENSG00000065717,TLE2,-0.995416393,1.43E-76
ENSG00000065809,FAM107B,-0.434206536,5.05E-13
ENSG00000065989,PDE4A,1.186704351,1.52E-12
ENSG00000066230,SLC9A3,-0.549873788,0.01393163
ENSG00000066382,MPPED2,1.009132186,2.59E-05
