Sample1	Sample2	p_same	Model1	Model2	psame	pdiff	nummatch	nummismatch	numopphom	numhettohom	numhomtohet
GSM2392582.GSM2392582	GSM2392582.GSM2392582	70.6	GSM2392582	GSM2392582	-70.9	-141.6	146	0	0	0	0
GSM2392582.GSM2392582	GSM2392582.GSM2392582	70.6	GSM2392582	GSM2392582	-70.9	-141.6	146	0	0	0	0
GSM2392582.GSM2392582	GSM2392583.GSM2392583	54.3	GSM2392582	GSM2392583	-58.7	-113.0	128	1	0	0	1
GSM2392582.GSM2392582	GSM2392584.GSM2392584	54.1	GSM2392582	GSM2392584	-62.8	-116.9	132	2	0	1	1
GSM2392582.GSM2392582	GSM2392585.GSM2392585	56.2	GSM2392582	GSM2392585	-60.5	-116.7	132	1	0	0	1
GSM2392582.GSM2392582	GSM2392586.GSM2392586	54.6	GSM2392582	GSM2392586	-59.0	-113.6	129	1	0	0	1
GSM2392582.GSM2392582	GSM2392587.GSM2392587	50.1	GSM2392582	GSM2392587	-67.4	-117.4	129	4	0	1	3
GSM2392582.GSM2392582	GSM2392588.GSM2392588	54.7	GSM2392582	GSM2392588	-62.6	-117.2	132	2	0	0	2
GSM2392582.GSM2392582	GSM2392589.GSM2392589	50.0	GSM2392582	GSM2392589	-65.7	-115.7	128	3	0	1	2
GSM2392582.GSM2392582	GSM2392590.GSM2392590	48.0	GSM2392582	GSM2392590	-67.1	-115.1	127	3	0	0	3
GSM2392582.GSM2392582	GSM2392591.GSM2392591	47.3	GSM2392582	GSM2392591	-62.9	-110.3	121	4	0	3	1
GSM2392582.GSM2392582	GSM2392592.GSM2392592	50.5	GSM2392582	GSM2392592	-66.7	-117.2	130	3	0	1	2
GSM2392582.GSM2392582	GSM2392593.GSM2392593	51.3	GSM2392582	GSM2392593	-59.2	-110.6	122	2	0	1	1
GSM2392582.GSM2392582	GSM2392594.GSM2392594	52.6	GSM2392582	GSM2392594	-65.2	-117.8	131	3	0	2	1
GSM2392582.GSM2392582	GSM2392595.GSM2392595	50.0	GSM2392582	GSM2392595	-61.7	-111.7	125	2	0	0	2
GSM2392582.GSM2392582	GSM2392596.GSM2392596	49.0	GSM2392582	GSM2392596	-62.6	-111.6	122	4	0	2	2
GSM2392582.GSM2392582	GSM2392597.GSM2392597	51.5	GSM2392582	GSM2392597	-61.4	-112.9	127	2	0	0	2
GSM2392582.GSM2392582	GSM2392598.GSM2392598	50.9	GSM2392582	GSM2392598	-58.4	-109.2	122	2	0	1	1
GSM2392582.GSM2392582	GSM2392599.GSM2392599	50.8	GSM2392582	GSM2392599	-61.8	-112.6	126	2	0	0	2
GSM2392582.GSM2392582	GSM2392600.GSM2392600	50.2	GSM2392582	GSM2392600	-60.8	-111.0	123	3	0	2	1
GSM2392582.GSM2392582	GSM2392601.GSM2392601	48.9	GSM2392582	GSM2392601	-57.8	-106.7	120	2	0	1	1
GSM2392582.GSM2392582	GSM2392602.GSM2392602	51.2	GSM2392582	GSM2392602	-60.3	-111.4	124	2	0	1	1
GSM2392582.GSM2392582	GSM2392603.GSM2392603	54.0	GSM2392582	GSM2392603	-60.7	-114.8	129	2	0	1	1
GSM2392582.GSM2392582	GSM2392604.GSM2392604	49.3	GSM2392582	GSM2392604	-65.1	-114.3	128	3	0	1	2
GSM2392582.GSM2392582	GSM2392605.GSM2392605	50.1	GSM2392582	GSM2392605	-59.8	-109.8	123	2	0	0	2
GSM2392582.GSM2392582	GSM2392606.GSM2392606	-170.4	GSM2392582	GSM2392606	-290.1	-119.7	55	73	24	17	32
GSM2392582.GSM2392582	GSM2392607.GSM2392607	-162.9	GSM2392582	GSM2392607	-275.1	-112.1	55	66	22	14	30
GSM2392582.GSM2392582	GSM2392608.GSM2392608	-170.3	GSM2392582	GSM2392608	-287.7	-117.4	57	68	25	15	28
GSM2392582.GSM2392582	GSM2392609.GSM2392609	-162.7	GSM2392582	GSM2392609	-273.7	-111.1	52	66	24	13	29
GSM2392582.GSM2392582	GSM2392610.GSM2392610	-171.6	GSM2392582	GSM2392610	-287.8	-116.2	55	70	23	17	30
GSM2392582.GSM2392582	GSM2392611.GSM2392611	-171.9	GSM2392582	GSM2392611	-292.8	-120.9	58	71	24	17	30
GSM2392582.GSM2392582	GSM2392612.GSM2392612	-170.8	GSM2392582	GSM2392612	-289.0	-118.2	58	69	24	16	29
GSM2392582.GSM2392582	GSM2392613.GSM2392613	-176.9	GSM2392582	GSM2392613	-301.0	-124.1	60	73	25	16	32
GSM2392582.GSM2392582	GSM2392614.GSM2392614	-171.2	GSM2392582	GSM2392614	-293.0	-121.8	58	72	26	17	29
GSM2392582.GSM2392582	GSM2392615.GSM2392615	-178.0	GSM2392582	GSM2392615	-301.4	-123.4	58	74	25	16	33
GSM2392582.GSM2392582	GSM2392616.GSM2392616	-157.2	GSM2392582	GSM2392616	-277.0	-119.7	62	66	24	14	28
GSM2392582.GSM2392582	GSM2392617.GSM2392617	-163.1	GSM2392582	GSM2392617	-280.1	-117.0	59	67	22	15	30
GSM2392582.GSM2392582	GSM2392618.GSM2392618	-161.6	GSM2392582	GSM2392618	-275.2	-113.6	55	67	22	14	31
GSM2392582.GSM2392582	GSM2392619.GSM2392619	-156.9	GSM2392582	GSM2392619	-272.8	-116.0	58	66	23	14	29
GSM2392582.GSM2392582	GSM2392620.GSM2392620	-153.5	GSM2392582	GSM2392620	-266.7	-113.1	58	63	23	12	28
GSM2392582.GSM2392582	GSM2392621.GSM2392621	-142.7	GSM2392582	GSM2392621	-252.0	-109.3	55	61	23	11	27
GSM2392582.GSM2392582	GSM2392622.GSM2392622	-164.8	GSM2392582	GSM2392622	-280.9	-116.1	58	67	21	17	29
GSM2392582.GSM2392582	GSM2392623.GSM2392623	-159.4	GSM2392582	GSM2392623	-270.7	-111.3	53	66	22	16	28
GSM2392582.GSM2392582	GSM2392624.GSM2392624	-160.2	GSM2392582	GSM2392624	-271.6	-111.5	55	64	22	15	27
GSM2392582.GSM2392582	GSM2392625.GSM2392625	-164.3	GSM2392582	GSM2392625	-282.2	-117.8	59	68	21	14	33
GSM2392582.GSM2392582	GSM2392626.GSM2392626	-152.0	GSM2392582	GSM2392626	-258.5	-106.5	49	64	22	16	26
GSM2392582.GSM2392582	GSM2392627.GSM2392627	-162.7	GSM2392582	GSM2392627	-273.9	-111.2	52	67	22	15	30
GSM2392582.GSM2392582	GSM2392628.GSM2392628	-160.1	GSM2392582	GSM2392628	-279.7	-119.5	58	69	25	15	29
GSM2392582.GSM2392582	GSM2392629.GSM2392629	-157.8	GSM2392582	GSM2392629	-268.4	-110.7	54	65	21	15	29
GSM2392582.GSM2392582	CCLE_CAL51_BREAST.CCLE_CAL51_BREAST	-209.4	GSM2392582	CCLE_CAL51_BREAST	-338.0	-128.6	59	82	22	15	45
GSM2392582.GSM2392582	CCLE_CAL148_BREAST.CCLE_CAL148_BREAST	-203.1	GSM2392582	CCLE_CAL148_BREAST	-336.4	-133.3	63	81	27	16	38
GSM2392582.GSM2392582	DU4475_BREAST.CCLE_DU4475_BREAST	-181.2	GSM2392582	DU4475_BREAST	-306.3	-125.1	65	71	25	11	35
GSM2392582.GSM2392582	CCLE_HS742T_FIBROBLAST.CCLE_HS742T_FIBROBLAST	-195.1	GSM2392582	CCLE_HS742T_FIBROBLAST	-314.3	-119.3	56	76	18	10	48
GSM2392582.GSM2392582	UACC893_BREAST.CCLE_UACC893_BREAST	-202.5	GSM2392582	UACC893_BREAST	-334.8	-132.3	62	80	28	18	34
GSM2392582.GSM2392582	CCLE_HS281T_FIBROBLAST.CCLE_HS281T_FIBROBLAST	-218.7	GSM2392582	CCLE_HS281T_FIBROBLAST	-344.8	-126.0	55	84	18	17	49
GSM2392582.GSM2392582	CCLE_HS274T_FIBROBLAST.CCLE_HS274T_FIBROBLAST	-212.3	GSM2392582	CCLE_HS274T_FIBROBLAST	-339.7	-127.4	55	83	24	16	43
GSM2392582.GSM2392582	HS606T_FIBROBLAST.CCLE_HS606T_FIBROBLAST	-256.3	GSM2392582	HS606T_FIBROBLAST	-383.8	-127.5	47	93	19	20	54
GSM2392582.GSM2392582	CCLE_HS343T_FIBROBLAST.CCLE_HS343T_FIBROBLAST	-219.1	GSM2392582	CCLE_HS343T_FIBROBLAST	-347.9	-128.7	55	85	23	17	45
GSM2392582.GSM2392582	CCLE_MDAMB468_BREAST.CCLE_MDAMB468_BREAST	-222.1	GSM2392582	CCLE_MDAMB468_BREAST	-363.4	-141.3	55	87	49	23	15
GSM2392582.GSM2392582	MDAMB415_BREAST.CCLE_MDAMB415_BREAST	-240.6	GSM2392582	MDAMB415_BREAST	-373.5	-132.9	49	91	36	19	36
GSM2392582.GSM2392582	MDAMB436_BREAST.CCLE_MDAMB436_BREAST	-188.4	GSM2392582	MDAMB436_BREAST	-319.3	-131.0	64	72	33	20	19
GSM2392582.GSM2392582	CCLE_SKBR3_BREAST.CCLE_SKBR3_BREAST	-238.0	GSM2392582	CCLE_SKBR3_BREAST	-376.5	-138.5	53	91	42	19	30
