Directory,SRA,SampleID,Treatment,Genotype,CellLine
SRR5024105,SRR5024105,GSM2392606,Vehicle,Wildtype,MCF7
SRR5024106,SRR5024106,GSM2392607,Vehicle,Wildtype,MCF7
SRR5024107,SRR5024107,GSM2392608,Vehicle,Wildtype,MCF7
SRR5024108,SRR5024108,GSM2392609,Vehicle,Wildtype,MCF7
SRR5024109,SRR5024109,GSM2392610,Vehicle,Y537S,MCF7
SRR5024110,SRR5024110,GSM2392611,Vehicle,Y537S,MCF7
SRR5024111,SRR5024111,GSM2392612,Vehicle,Y537S,MCF7
SRR5024112,SRR5024112,GSM2392613,Vehicle,Y537S,MCF7
SRR5024113,SRR5024113,GSM2392614,Vehicle,D538G,MCF7
SRR5024114,SRR5024114,GSM2392615,Vehicle,D538G,MCF7
SRR5024115,SRR5024115,GSM2392616,Vehicle,D538G,MCF7
SRR5024116,SRR5024116,GSM2392617,Vehicle,D538G,MCF7
SRR5024117,SRR5024117,GSM2392618,Estrogen,Wildtype,MCF7
SRR5024118,SRR5024118,GSM2392619,Estrogen,Wildtype,MCF7
SRR5024119,SRR5024119,GSM2392620,Estrogen,Wildtype,MCF7
SRR5024120,SRR5024120,GSM2392621,Estrogen,Wildtype,MCF7
SRR5024121,SRR5024121,GSM2392622,Estrogen,Y537S,MCF7
SRR5024122,SRR5024122,GSM2392623,Estrogen,Y537S,MCF7
SRR5024123,SRR5024123,GSM2392624,Estrogen,Y537S,MCF7
SRR5024124,SRR5024124,GSM2392625,Estrogen,Y537S,MCF7
SRR5024125,SRR5024125,GSM2392626,Estrogen,D538G,MCF7
SRR5024126,SRR5024126,GSM2392627,Estrogen,D538G,MCF7
SRR5024127,SRR5024127,GSM2392628,Estrogen,D538G,MCF7
SRR5024128,SRR5024128,GSM2392629,Estrogen,D538G,MCF7
